,Date,Prices
0,1970-12-31,37.38
1,1970-12-30,37.42
2,1970-12-29,37.33
3,1970-12-28,37.35
4,1970-12-24,NA
5,1970-12-23,37.33
6,1970-12-22,37.67
7,1970-12-21,37.62
8,1970-12-18,37.62
9,1970-12-17,37.62
10,1970-12-16,37.56
11,1970-12-15,37.62
12,1970-12-14,37.3
13,1970-12-11,37.17
14,1970-12-10,37.15
15,1970-12-09,37.1
16,1970-12-08,37.38
17,1970-12-07,37.4
18,1970-12-04,37.54
19,1970-12-03,37.55
20,1970-12-02,37.55
21,1970-12-01,37.45
22,1970-11-30,37.54
23,1970-11-27,37.6
24,1970-11-26,37.65
25,1970-11-25,37.65
26,1970-11-24,37.6
27,1970-11-23,37.45
28,1970-11-20,37.62
29,1970-11-19,37.39
30,1970-11-18,37.46
31,1970-11-17,37.62
32,1970-11-16,37.67
33,1970-11-13,37.66
34,1970-11-12,37.35
35,1970-11-11,37.2
36,1970-11-10,37.33
37,1970-11-09,37.33
38,1970-11-06,37.1
39,1970-11-05,36.75
40,1970-11-04,37.2
41,1970-11-03,37.42
42,1970-11-02,37.65
43,1970-10-30,37.25
44,1970-10-29,38.17
45,1970-10-28,38.67
46,1970-10-27,39.01
47,1970-10-26,38.9
48,1970-10-23,38.45
49,1970-10-22,38
50,1970-10-21,37.97
51,1970-10-20,37.88
52,1970-10-19,37.6
53,1970-10-16,37.5
54,1970-10-15,37.55
55,1970-10-14,37.25
56,1970-10-13,37.42
57,1970-10-12,37.19
58,1970-10-09,36.92
59,1970-10-08,36.73
60,1970-10-07,36.67
61,1970-10-06,36.83
62,1970-10-05,36.73
63,1970-10-02,36.33
64,1970-10-01,36.38
65,1970-09-30,36.4
66,1970-09-29,36.2
67,1970-09-28,36.19
68,1970-09-25,36.15
69,1970-09-24,36.23
70,1970-09-23,36.17
71,1970-09-22,36.27
72,1970-09-21,36.24
73,1970-09-18,36.15
74,1970-09-17,36.2
75,1970-09-16,36.05
76,1970-09-15,36.2
77,1970-09-14,36.3
78,1970-09-11,36.33
79,1970-09-10,36.17
80,1970-09-09,36.25
81,1970-09-08,36.08
82,1970-09-07,36.12
83,1970-09-04,36.25
84,1970-09-03,36.27
85,1970-09-02,36.1
86,1970-09-01,35.92
87,1970-08-28,35.8
88,1970-08-27,35.73
89,1970-08-26,35.69
90,1970-08-25,35.6
91,1970-08-24,35.46
92,1970-08-21,35.41
93,1970-08-20,35.33
94,1970-08-19,35.25
95,1970-08-18,35.25
96,1970-08-17,35.24
97,1970-08-14,35.25
98,1970-08-13,35.26
99,1970-08-12,35.25
100,1970-08-11,35.23
101,1970-08-10,35.28
102,1970-08-07,35.3
103,1970-08-06,35.33
104,1970-08-05,35.32
105,1970-08-04,35.31
106,1970-08-03,35.33
